source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
203,en16931,4,A,,Item name,Text,1..1,"Project-defined Item name in the Item information context, represented as Text.",$.invoice.invoiceLine.itemInformation.itemName,Item information,374,bus,5,A,,Measurable Description,String,0..1,Text description of measurable (e.g. inventory item or other identifier),$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableDescription,Detail_ Measurable,,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH,v10 current-taxonomy re-review: resolved: HMD-derived repeatable-ancestor propagation is accepted. Not executable because R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred.
204,en16931,4,A,,Item description,Text,0..1,"Project-defined Item description in the Item information context, represented as Text.",$.invoice.invoiceLine.itemInformation.itemDescription,Item information,447,btx,4,A,,Detail_ Description,String,0..1,Description of this line of detail only,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDescription,Transaction_ Detail,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
205,en16931,4,A,,Item seller identifier,Identifier,0..1,"Project-defined Item seller identifier in the Item information context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemSellerIdentifier,Item information,372,bus,5,A,,Secondary Measurable Code,String,0..1,Second identifier (such as vendor's item number),$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_SecondaryMeasurableCode,Detail_ Measurable,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
206,en16931,4,A,,Item buyer identifier,Identifier,0..1,"Project-defined Item buyer identifier in the Item information context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemBuyerIdentifier,Item information,370,bus,5,A,,Measurable Identification,String,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableIdentification,Detail_ Measurable,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
207,en16931,4,A,,Item standard identifier,Identifier,0..1,"Project-defined Item standard identifier in the Item information context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemStandardIdentifier,Item information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
208,en16931,4,A,,Scheme identifier,Identifier,1..1,"Project-defined Scheme identifier in the Item information context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemStandardIdentifierSchemeIdentifier,Item information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
209,en16931,4,C,,Item Classification Identifier,,0..*,"Project-defined Item Classification Identifier in the Item Classification Identifier context, represented as structured information.",$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier,Item Classification Identifier,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
210,en16931,5,A,,Identifier,Identifier,1..1,"Project-defined Identifier in the Item Classification Identifier context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.identifier,Item Classification Identifier,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
211,en16931,5,A,,Scheme identifier,Identifier,1..1,"Project-defined Scheme identifier in the Item Classification Identifier context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeIdentifier,Item Classification Identifier,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
212,en16931,5,A,,Scheme version identifier,Identifier,0..1,"Project-defined Scheme version identifier in the Item Classification Identifier context, represented as Identifier.",$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeVersionIdentifier,Item Classification Identifier,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
213,en16931,4,A,,Item country of origin,Code,0..1,"Project-defined Item country of origin in the Item information context, represented as Code.",$.invoice.invoiceLine.itemInformation.itemCountryOfOrigin,Item information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
214,en16931,4,C,,Item attributes,,0..*,"Project-defined Item attributes in the Item attribute context, represented as structured information.",$.invoice.invoiceLine.itemInformation.itemAttributes,Item attribute,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
215,en16931,5,A,,Item attribute name,Text,1..1,"Project-defined Item attribute name in the Item attribute context, represented as Text.",$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeName,Item attribute,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
216,en16931,5,A,,Item attribute value,Text,1..1,"Project-defined Item attribute value in the Item attribute context, represented as Text.",$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeValue,Item attribute,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
